HARGA KOS,,,,HARGA KOS,,,,,,,,,,,
,80gsm Simili Paper,,,,100gsm Simili Paper,,,,,,,,,,
Qty,4C + 0C,4C + 4C,,Qty,4C + 0C,4C + 4C,,,,,,,,,
500,446.6,654.6,,500,536,785.6,,,,,,,,,
1000,618,806.6,,1000,741.6,968,,,,,,,,,
2000,964.6,1126.2,,2000,1157.6,1351.6,,,,,,,,,
3000,1407.2,1507.4,,3000,1688.8,1809,,,,,,,,,
4000,1850,2056.8,,4000,2220,2468.2,,,,,,,,,
5000,2399,2539.8,,5000,2878.8,3047.8,,,,,,,,,
6000,2868.6,3071.2,,6000,3442.4,3685.6,,,,,,,,,
7000,3299.2,3560.2,,7000,3959.2,4272.4,,,,,,,,,
8000,3731.6,4053.2,,8000,4478,4864,,,,,,,,,
9000,4165.8,4542.2,,9000,4999,5450.8,,,,,,,,,
10000,4596.4,5031.4,,10000,5515.8,6037.8,,,,,,,,,
